pve estimate =9.9999e-06	se(pve) =0.334448
pve estimate =9.9999e-06	se(pve) =0.0346686
pve estimate =0.0597852	se(pve) =0.0569242
pve estimate =9.9999e-06	se(pve) =0.048472
pve estimate =0.00629846	se(pve) =0.0222478
pve estimate =0.0819649	se(pve) =0.0724559
pve estimate =0.147159	se(pve) =0.0854559
pve estimate =9.9999e-06	se(pve) =0.0273365
pve estimate =9.9999e-06	se(pve) =0.0665876
pve estimate =9.9999e-06	se(pve) =0.197815
pve estimate =9.9999e-06	se(pve) =0.0274761
pve estimate =9.9999e-06	se(pve) =0.0394149
pve estimate =9.9999e-06	se(pve) =0.112237
pve estimate =0.00060452	se(pve) =0.0188492
pve estimate =0.0353554	se(pve) =0.0412094
pve estimate =0.021259	se(pve) =0.0443765
pve estimate =0.0124861	se(pve) =0.0245944
pve estimate =9.9999e-06	se(pve) =0.0680731
pve estimate =9.9999e-06	se(pve) =0.046921
pve estimate =9.9999e-06	se(pve) =0.019331
pve estimate =0.0189545	se(pve) =0.0409111
pve estimate =0.0429428	se(pve) =0.0477131
pve estimate =0.0232039	se(pve) =0.0279009
pve estimate =0.0300909	se(pve) =0.0535811
pve estimate =0.0903693	se(pve) =0.0845199
pve estimate =9.9999e-06	se(pve) =0.112688
pve estimate =0.081411	se(pve) =0.12625
pve estimate =0.102231	se(pve) =0.0993961
pve estimate =0.000633616	se(pve) =0.0135375
pve estimate =9.9999e-06	se(pve) =0.0253232
pve estimate =9.9999e-06	se(pve) =0.0618461
pve estimate =9.9999e-06	se(pve) =0.0517721
pve estimate =9.9999e-06	se(pve) =0.0916044
pve estimate =9.9999e-06	se(pve) =0.12625
pve estimate =9.9999e-06	se(pve) =0.0184696
pve estimate =0.0225154	se(pve) =0.0327308
pve estimate =9.9999e-06	se(pve) =0.0834873
pve estimate =0.00217664	se(pve) =0.0228889
pve estimate =9.9999e-06	se(pve) =0.351292
pve estimate =9.9999e-06	se(pve) =0.0969444
pve estimate =0.00419639	se(pve) =0.0219709
pve estimate =9.9999e-06	se(pve) =0.0506692
pve estimate =0.0765411	se(pve) =0.0717233
pve estimate =9.9999e-06	se(pve) =0.0403151
pve estimate =0.00503701	se(pve) =0.0460628
pve estimate =0.032959	se(pve) =0.0487108
pve estimate =9.9999e-06	se(pve) =0.0302027
pve estimate =9.9999e-06	se(pve) =0.0494334
pve estimate =0.0290297	se(pve) =0.0596438
pve estimate =9.9999e-06	se(pve) =0.0231189
pve estimate =9.9999e-06	se(pve) =0.0624857
pve estimate =9.9999e-06	se(pve) =0.0981012
pve estimate =9.9999e-06	se(pve) =0.0412336
pve estimate =9.9999e-06	se(pve) =0.126448
pve estimate =9.9999e-06	se(pve) =0.0757363
pve estimate =9.9999e-06	se(pve) =0.0477115
pve estimate =9.9999e-06	se(pve) =0.0844958
pve estimate =9.9999e-06	se(pve) =0.0955677
pve estimate =9.9999e-06	se(pve) =0.0196028
pve estimate =9.9999e-06	se(pve) =0.0695776
pve estimate =0.122168	se(pve) =0.0821527
pve estimate =0.01181	se(pve) =0.0234926
pve estimate =9.9999e-06	se(pve) =0.191936
pve estimate =0.04616	se(pve) =0.0783668
