"plant_ID","strain_ID","line","exp","chloro1","height1","leaf1","chloro2","height2","leaf2","nod","nod.weight","shoot","root","rack","pos","type","add","strains","region","pop","plant_origin","lat","long","line_exp","soil","compat"
"545","24","DZA","1",48.7,3.2,8,48.1,NA,NA,31,2.3,0.46,0.39,"B9","5","treated","MAG","MAG24","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"645","24","DZA","1",45.3,4.7,4,42.5,NA,NA,46,1.7,0.25,0.11,"A1","9","treated","MAG","MAG24","FRANCE","4","F20089",43.12226667,3.096033333,"DZA_1","4",1
"127","26","DZA","1",40.3,5.4,5,41.7,NA,NA,56,0.8,0.64,0.59,"F1","7","treated","MAG","MAG26","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"179","26","DZA","1",NA,3.8,5,43,NA,NA,70,1.9,NA,NA,"B6","1","treated","MAG","MAG26","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"370","26","DZA","1",44.7,5.8,6,43.3,NA,NA,83,1.2,0.25,0.38,"C2","1","treated","MAG","MAG26","FRANCE","7","F20089",42.5883,2.785,"DZA_1","7",1
"4","27","DZA","1",46.4,4.9,4,45,NA,NA,29,2.7,0.78,1.49,"E6","2","treated","MAG","MAG27","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"388","27","DZA","1",40,5.1,6,52.8,NA,NA,44,1.5,0.52,1.68,"C7","3","treated","MAG","MAG27","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"411","27","DZA","1",53.6,5.1,6,48.4,NA,NA,40,2.6,0.55,0.33,"B9","3","treated","MAG","MAG27","FRANCE","4","ESP174",43.12198333,3.095533333,"DZA_1","4",1
"140","31","DZA","1",37.6,4.4,5,32.5,NA,NA,92,1.8,0.28,0.25,"E3","3","treated","MAG","MAG31","SPAIN","9","ESP174",36.91083333,-3.477116667,"DZA_1","9",1
"399","31","DZA","1",46.5,4.4,5,37.9,NA,NA,88,0.5,0.26,0.17,"A8","10","treated","MAG","MAG31","SPAIN","9","ESP174",36.91083333,-3.477116667,"DZA_1","9",1
"652","31","DZA","1",42,4.5,6,36.7,NA,NA,131,1.7,0.38,0.6,"C12","6","treated","MAG","MAG31","SPAIN","9","ESP174",36.91083333,-3.477116667,"DZA_1","9",1
"78","32","DZA","1",45.5,4.8,4,25.4,NA,NA,66,2,0.43,0.6,"E2","1","treated","MAG","MAG32","FRANCE","2","F11005",43.14543333,2.999366667,"DZA_1","2",1
"270","32","DZA","1",42.8,4.3,7,42.6,NA,NA,54,1.5,0.46,0.21,"A5","5","treated","MAG","MAG32","FRANCE","2","F11005",43.14543333,2.999366667,"DZA_1","2",1
"608","32","DZA","1",42.7,5.3,4,39.4,NA,NA,59,1.9,0.28,0.31,"C2","4","treated","MAG","MAG32","FRANCE","2","F11005",43.14543333,2.999366667,"DZA_1","2",1
"23","33","DZA","1",41,4.3,4,42.1,NA,NA,35,2.8,0.51,0.84,"B11","4","treated","MAG","MAG33","SPAIN","8","ESP174",38.4116,-1.015066667,"DZA_1","8",1
"441","33","DZA","1",55.4,4.6,5,51.5,NA,NA,28,1.9,0.53,0.51,"B6","9","treated","MAG","MAG33","SPAIN","8","ESP174",38.4116,-1.015066667,"DZA_1","8",1
"694","33","DZA","1",40.8,5.5,6,43.3,NA,NA,26,2.8,0.97,1.54,"E5","9","treated","MAG","MAG33","SPAIN","8","ESP174",38.4116,-1.015066667,"DZA_1","8",1
"10","34","DZA","1",49.9,4.1,5,47.3,NA,NA,87,3.2,0.53,0.57,"C12","7","treated","MAG","MAG34","FRANCE","3","ESP174",43.12233333,3.076716667,"DZA_1","3",1
"320","34","DZA","1",47,3.4,3,41.4,NA,NA,66,2.1,0.29,0.22,"E1","7","treated","MAG","MAG34","FRANCE","3","ESP174",43.12233333,3.076716667,"DZA_1","3",1
"547","34","DZA","1",41.6,5.1,6,48.6,NA,NA,78,2.2,0.51,0.31,"A4","1","treated","MAG","MAG34","FRANCE","3","ESP174",43.12233333,3.076716667,"DZA_1","3",1
"487","35","DZA","1",NA,5.5,6,46.5,NA,NA,52,2,0.8,1.22,"D1","4","treated","MAG","MAG35","SPAIN","8","ESP174",38.4116,-1.015066667,"DZA_1","8",1
"521","35","DZA","1",50.4,5.3,5,54.2,NA,NA,84,2.1,0.29,0.02,"A6","8","treated","MAG","MAG35","SPAIN","8","ESP174",38.4116,-1.015066667,"DZA_1","8",1
"531","35","DZA","1",42.9,2.6,5,50.6,NA,NA,37,1.5,0.59,0.65,"D12","6","treated","MAG","MAG35","SPAIN","8","ESP174",38.4116,-1.015066667,"DZA_1","8",1
"33","36","DZA","1",53.3,4.1,6,49.6,NA,NA,26,3.5,0.67,1.98,"D5","10","treated","MAG","MAG36","FRANCE","5","F66009",42.82301667,2.9269,"DZA_1","5",1
"44","36","DZA","1",49.1,4.8,5,47.5,NA,NA,50,2.9,0.41,0.26,"A8","1","treated","MAG","MAG36","FRANCE","5","F66009",42.82301667,2.9269,"DZA_1","5",1
