plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
121,43,DZA,1,4.4,5,52.1,NA,NA,51.4,49,1.8,0.7,1.15
539,43,DZA,1,4.7,6,41.5,NA,NA,47.1,42,1.7,0.6,0.54
556,43,DZA,1,5.4,5,45.5,NA,NA,44.3,36,1.7,0.42,0.33
352,46,DZA,1,3.9,6,53,NA,NA,41.7,53,2.5,0.8,1.52
405,46,DZA,1,4.4,7,39.1,NA,NA,47.2,40,3.6,0.55,0.41
569,46,DZA,1,4.3,4,49.8,NA,NA,49.5,67,4.3,0.4,0.34
137,48,DZA,1,5.2,5,47.5,NA,NA,40.4,NA,1.5,0.5,1.38
526,48,DZA,1,3.8,4,40.5,NA,NA,47.4,49,2.2,0.42,0.27
563,48,DZA,1,4.3,3,38.9,NA,NA,27.1,43,1.1,0.16,0.04
11,53,DZA,1,4.2,6,49.7,NA,NA,39.4,81,1.9,0.64,0.43
35,53,DZA,1,2.7,7,52.4,NA,NA,46.7,46,2.3,0.6,1.74
72,53,DZA,1,3.5,6,43.3,NA,NA,46.3,56,2.3,0.5,1.19
286,54,DZA,1,4.9,5,45.9,NA,NA,48,48,3.1,0.57,0.74
610,54,DZA,1,5.2,5,42.9,NA,NA,41.3,29,1.4,0.97,0.72
669,54,DZA,1,4.4,5,56.8,NA,NA,52.1,57,2.1,0.59,1.05
363,57,DZA,1,4.9,4,46.4,NA,NA,41.8,49,1.5,0.5,0.34
550,57,DZA,1,4.9,4,48.1,NA,NA,44.6,27,2.2,0.94,1.29
621,57,DZA,1,4.1,6,56.7,NA,NA,49.3,83,1.3,0.39,0.33
514,59,DZA,1,4.9,4,49.6,NA,NA,49.5,75,1.7,0.61,0.63
594,59,DZA,1,5.1,5,48.5,NA,NA,41,56,2,1.08,1.31
638,59,DZA,1,5.1,4,42.7,NA,NA,49.1,53,1.2,0.2,0.13
107,62,DZA,1,3,7,46.6,NA,NA,49.1,33,3.3,0.66,0.9
389,62,DZA,1,5.2,5,49.4,NA,NA,43.4,48,0.2,0.55,0.41
604,62,DZA,1,4.7,5,45.1,NA,NA,42.5,53,3.7,0.46,0.19
8,65,DZA,1,4.8,4,52.4,NA,NA,39.6,NA,2.1,0.25,0.41
95,65,DZA,1,4.4,4,37.8,NA,NA,46.5,65,1.8,0.32,0.2
446,65,DZA,1,4.1,7,56.1,NA,NA,49.7,65,2.5,0.99,1.14
31,66,DZA,1,4.5,6,46.6,NA,NA,34.7,69,1.7,0.39,1.15
129,66,DZA,1,1.4,1,NA,NA,NA,43.8,49,0.9,0.08,0.15
549,66,DZA,1,4.8,3,48.4,NA,NA,38.5,42,1.9,0.6,0.64
282,67,DZA,1,3.8,4,40.7,NA,NA,50,26,1.7,0.24,0.2
525,67,DZA,1,4.1,4,45.9,NA,NA,41.1,42,1,0.32,0.2
631,67,DZA,1,5.5,6,47.8,NA,NA,31.8,45,2.2,0.88,1.29
81,69,DZA,1,5.9,4,52.7,NA,NA,36.6,40,2.7,0.47,0.28
246,69,DZA,1,3.7,6,50,NA,NA,47.7,39,3.2,0.55,0.54
433,69,DZA,1,4.8,4,48.6,NA,NA,48.1,38,3.4,0.69,3.2
265,71,DZA,1,4.7,6,44.5,NA,NA,44.5,76,2.8,0.85,1.77
298,71,DZA,1,4.6,5,45.6,NA,NA,43.2,42,1.8,0.39,0.47
535,71,DZA,1,4.9,7,51.6,NA,NA,41.4,66,4,0.57,0.67
217,72,DZA,1,5.3,5,45.6,NA,NA,39.9,61,2.8,0.58,0.55
220,72,DZA,1,4.4,5,46.3,NA,NA,50.2,24,3.1,0.42,0.22
575,72,DZA,1,4.4,6,46.4,NA,NA,51.7,35,2.1,0.47,0.88
145,73,DZA,1,4.8,6,43.3,NA,NA,47.8,34,2.5,0.61,0.45
251,73,DZA,1,2.4,4,45.4,NA,NA,43,31,2.7,0.46,0.67
524,73,DZA,1,4.3,6,49.9,NA,NA,44.3,56,3.2,0.53,0.53
317,78,DZA,1,4.5,4,46,NA,NA,42.3,73,1.1,0.6,0.52
557,78,DZA,1,4.1,7,50.6,NA,NA,40.6,46,1.8,0.49,0.28
675,78,DZA,1,4,7,51.8,NA,NA,46.8,102,1.8,0.48,1.94
328,79,DZA,1,3.4,4,50.3,NA,NA,33.8,42,2.5,0.62,NA
499,79,DZA,1,5.3,6,39.1,NA,NA,33,39,1.8,0.41,0.16
543,79,DZA,1,4.4,5,44,NA,NA,45.1,38,1.4,0.44,1.41
13,80,DZA,1,3.4,6,35.5,NA,NA,42,92,1.2,0.28,0.22
223,80,DZA,1,3.9,4,39.8,NA,NA,39.3,39,1.2,0.46,0.31
678,80,DZA,1,4.9,6,NA,NA,NA,43.7,85,1.8,0.22,0.26
443,82,DZA,1,4.4,6,53.4,NA,NA,42,68,3.5,0.44,0.28
469,82,DZA,1,5.6,6,45.9,NA,NA,51.5,84,1.5,0.81,1.58
544,82,DZA,1,5.4,6,45.9,NA,NA,36.4,NA,1.9,0.88,1.78
114,83,DZA,1,4.1,5,43.2,NA,NA,40.8,81,1.8,0.29,0.23
161,83,DZA,1,3.9,6,41.5,NA,NA,45.3,134,1.6,0.4,0.79
493,83,DZA,1,3.7,6,40.8,NA,NA,40.5,72,1.5,0.2,0.49
478,84,DZA,1,6.2,7,52.2,NA,NA,47.9,55,2.2,0.6,0.33
491,84,DZA,1,5,4,46.4,NA,NA,42,65,2.2,0.59,0.46
612,84,DZA,1,4.8,7,51.4,NA,NA,45.3,77,3,0.69,0.91
247,85,DZA,1,5.4,5,43.9,NA,NA,33.2,54,1.6,0.36,0.5
658,85,DZA,1,3.9,6,44,NA,NA,36,71,2.1,0.54,0.36
690,85,DZA,1,4.6,6,49.1,NA,NA,33.3,72,2,0.53,0.4
151,86,DZA,1,4.2,7,48.3,NA,NA,50.5,25,1.9,0.71,1.76
208,86,DZA,1,4,4,49,NA,NA,45.1,53,3.9,0.55,0.6
662,86,DZA,1,5.5,7,46,NA,NA,42.9,28,2.6,0.69,0.46
97,87,DZA,1,3.8,4,44,NA,NA,47.5,37,2.2,0.21,0.21
292,87,DZA,1,4,4,49.2,NA,NA,40.9,69,1.3,0.1,0.01
553,87,DZA,1,3.9,4,41.9,NA,NA,44,51,1.5,0.5,0.53
542,88,DZA,1,4,6,47.7,NA,NA,49.2,53,2.6,0.43,0.14
672,88,DZA,1,4.8,4,43.1,NA,NA,52.5,57,2.5,0.37,0.31
717,88,DZA,1,3.2,5,48.4,NA,NA,48.3,49,1.5,0.57,0.24
14,89,DZA,1,5.3,6,52.4,NA,NA,49.7,31,1.8,0.54,1.34
108,89,DZA,1,3.4,4,44.5,NA,NA,46.1,28,2.2,0.3,0.21
445,89,DZA,1,4.4,6,43.6,NA,NA,46.6,49,2.1,0.44,0.55
66,92,DZA,1,4.3,5,48.3,NA,NA,50,56,0.6,0.36,0.26
209,92,DZA,1,3.9,6,43,NA,NA,44,34,2.1,0.28,2.27
561,92,DZA,1,4.4,5,47.7,NA,NA,43.5,49,2.5,0.62,0.68
29,93,DZA,1,3.4,5,36.7,NA,NA,44.9,33,2,0.16,0.33
102,93,DZA,1,3.5,5,51.7,NA,NA,48.6,39,2.4,0.31,0.26
180,93,DZA,1,4.9,5,43.4,NA,NA,36.7,63,2.5,0.52,0.69
387,97,DZA,1,4.2,4,48.5,NA,NA,45.1,56,1.6,0.47,0.3
611,97,DZA,1,5.6,6,44.7,NA,NA,40.8,76,1.7,0.89,0.6
719,97,DZA,1,2.5,5,46,NA,NA,46.8,34,1.7,0.41,0.43
1,101,DZA,1,3.8,7,49.9,NA,NA,45.3,85,0.8,0.42,0.58
59,101,DZA,1,4.3,5,48.5,NA,NA,42,80,2.3,0.38,0.23
182,101,DZA,1,4.7,5,51.1,NA,NA,40.1,77,2.9,0.68,0.68
193,114,DZA,1,3.5,4,51.7,NA,NA,48.1,84,2,0.66,0.56
402,114,DZA,1,5.6,8,50.9,NA,NA,47.1,52,1.5,0.54,0.31
623,114,DZA,1,5.1,6,50.8,NA,NA,46.3,53,3.1,0.34,0.99
56,121,DZA,1,5.4,6,50.9,NA,NA,43.4,82,3.4,0.71,0.63
323,121,DZA,1,4.4,5,48.4,NA,NA,48.3,59,1.6,0.45,0.27
456,121,DZA,1,5.1,5,44.1,NA,NA,33,50,1.4,0.49,0.62
254,123,DZA,1,5.1,6,46.7,NA,NA,41.8,44,2,0.64,0.45
627,123,DZA,1,3.6,3,3,NA,NA,49.5,18,2.3,0.28,0.17
714,123,DZA,1,5.1,5,47.3,NA,NA,48.2,66,2.5,0.37,0.56
112,141,DZA,1,5.7,6,47.8,NA,NA,50.9,45,1.8,0.61,0.77
354,141,DZA,1,4.4,7,48,NA,NA,50.6,38,2.5,0.36,0.22
625,141,DZA,1,4.6,5,49.8,NA,NA,51.7,30,2.4,1.12,1.22
198,142,DZA,1,5,6,52.4,NA,NA,49.2,102,3.6,0.85,0.71
373,142,DZA,1,4.4,6,51.7,NA,NA,48.9,46,2.5,0.53,0.95
383,142,DZA,1,5,5,52.2,NA,NA,42.8,42,15,0.41,0.23
70,145,DZA,1,4.5,5,44.6,NA,NA,38.8,56,0.8,0.16,0.08
348,145,DZA,1,2.9,5,41.6,NA,NA,41.7,51,3.1,0.39,0.84
710,145,DZA,1,5.4,5,44.5,NA,NA,48.5,54,1.6,0.53,0.5
226,146,DZA,1,4.1,6,45.6,NA,NA,39.8,37,1.9,0.66,0.63
283,146,DZA,1,4.1,5,47.4,NA,NA,47.9,56,1.7,0.47,0.27
705,146,DZA,1,4.7,5,47.4,NA,NA,40.3,81,1.5,0.49,0.62
3,154,DZA,1,4.6,4,37.3,NA,NA,40.4,46,1.7,0.15,0.13
103,154,DZA,1,3,4,NA,NA,NA,41.4,57,1.3,0.25,0.4
440,154,DZA,1,3.6,4,43.5,NA,NA,39.8,62,3.6,0.5,0.79
444,157,DZA,1,4.4,4,43,NA,NA,41.2,40,1.8,0.22,0.1
473,157,DZA,1,4.5,5,39,NA,NA,39.2,56,2,0.2,0.2
574,157,DZA,1,4.1,4,44.8,NA,NA,36.7,37,1.5,0.54,0.65
68,169,DZA,1,4.8,4,53.3,NA,NA,47.7,48,1.3,0.31,0.26
321,169,DZA,1,3.9,4,50.6,NA,NA,41.6,49,1.5,0.18,0.38
410,169,DZA,1,4.7,6,47.3,NA,NA,47.2,50,1.7,0.34,0.06
49,174,DZA,1,4.6,6,48.8,NA,NA,46.8,72,1.3,0.58,1.12
204,174,DZA,1,4.2,5,47.4,NA,NA,46.5,95,1.2,0.55,1.26
617,174,DZA,1,3.9,5,46.7,NA,NA,44.2,101,1.6,0.33,0.25
40,177,DZA,1,4,5,45.5,NA,NA,45.6,73,2.4,0.3,0.27
132,177,DZA,1,4.1,6,43.7,NA,NA,37.7,56,2.3,0.63,0.6
396,177,DZA,1,NA,NA,NA,NA,NA,41.2,60,1.9,0.22,0.15
269,182,DZA,1,3.6,5,45.4,NA,NA,46.7,51,3.1,0.35,0.21
333,182,DZA,1,5.1,6,48.2,NA,NA,45,38,2.6,0.6,0.34
503,182,DZA,1,3.6,3,45.3,NA,NA,40.4,25,1.6,0.31,0.18
303,183,DZA,1,3.5,3,49.3,NA,NA,53.1,62,1.4,0.4,0.28
409,183,DZA,1,4.5,6,47.7,NA,NA,41.6,60,2.1,0.72,0.53
47,184,DZA,1,4.5,5,49.4,NA,NA,43.7,43,2.3,0.74,0.48
596,184,DZA,1,4.3,6,50,NA,NA,46.8,30,13.4,0.64,1.11
598,184,DZA,1,4.4,4,48,NA,NA,42.7,32,1.8,0.27,0.04
37,189,DZA,1,3.3,4,37.6,NA,NA,39.4,62,0.8,0.28,0.16
76,189,DZA,1,4.1,6,31.4,NA,NA,38.8,74,0.6,0.32,0.24
666,189,DZA,1,3.1,5,38.9,NA,NA,34.8,54,0.7,0.26,0.28
74,191,DZA,1,4,6,41.8,NA,NA,45.8,64,3,0.49,0.55
356,191,DZA,1,4.6,3,38.4,NA,NA,42.8,52,1.6,0.49,0.42
528,191,DZA,1,3.1,3,39.1,NA,NA,40.9,36,2.9,0.18,NA
228,194,DZA,1,NA,NA,NA,NA,NA,43.2,56,1.4,0.29,0.45
427,194,DZA,1,4.5,4,41.7,NA,NA,39.3,24,1.3,0.33,0.27
522,194,DZA,1,4.4,5,43.2,NA,NA,41.2,60,1,0.27,0.3
