plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
C15,control_ex,DZA,3,4.5,3,24.6,6.3,4,16.6,NA,NA,0.03,0.05
C16,control_ex,DZA,3,2.4,3,NA,1.5,1,NA,NA,NA,0.004,0.0096
C17,control_ex,DZA,3,2.5,3,NA,2.3,2,NA,NA,NA,0.007,0.03
C18,control_ex,DZA,3,3.3,4,17,5.9,4,22.5,NA,NA,0.01,0.05
C19,control_ex,DZA,3,3.3,2,NA,3.1,2,NA,NA,NA,0.01,0.017
C2,control_ex,DZA,3,5.1,4,25.6,7.9,4,24.2,NA,NA,0.02,0.1
C20,control_ex,DZA,3,1.6,2,NA,1.3,1,NA,NA,NA,0.001,0.007
C3,control_ex,DZA,3,1.6,3,NA,5.8,3,27.7,NA,NA,0.02,0.02
C4,control_ex,DZA,3,3.2,3,NA,2.1,2,NA,NA,NA,0.005,0.02
C5,control_ex,DZA,3,3.4,3,NA,NA,NA,NA,NA,NA,NA,NA
C6,control_ex,DZA,3,4,3,NA,5,3,NA,NA,NA,0.04,0.02
C7,control_ex,DZA,3,3.9,3,NA,3.2,2,NA,NA,NA,0.01,0.02
C8,control_ex,DZA,3,2.7,3,NA,2.1,2,NA,NA,NA,0.0029,0.017
C9,control_ex,DZA,3,4.2,3,NA,3.8,2,NA,NA,NA,0.012,0.014
